+-------------+------+--------+-------+-----------+
|  series id  | year | period | value | footnotes |
+-------------+------+--------+-------+-----------+
| LNS14000000 | 2018 |  M12   |  3.9  |           |
| LNS14000000 | 2018 |  M11   |  3.8  |           |
| LNS14000000 | 2018 |  M10   |  3.8  |           |
| LNS14000000 | 2018 |  M09   |  3.7  |           |
| LNS14000000 | 2018 |  M08   |  3.8  |           |
| LNS14000000 | 2018 |  M07   |  3.8  |           |
| LNS14000000 | 2018 |  M06   |  4.0  |           |
| LNS14000000 | 2018 |  M05   |  3.8  |           |
| LNS14000000 | 2018 |  M04   |  4.0  |           |
| LNS14000000 | 2018 |  M03   |  4.0  |           |
| LNS14000000 | 2018 |  M02   |  4.1  |           |
| LNS14000000 | 2018 |  M01   |  4.0  |           |
| LNS14000000 | 2017 |  M12   |  4.1  |           |
| LNS14000000 | 2017 |  M11   |  4.2  |           |
| LNS14000000 | 2017 |  M10   |  4.2  |           |
| LNS14000000 | 2017 |  M09   |  4.3  |           |
| LNS14000000 | 2017 |  M08   |  4.4  |           |
| LNS14000000 | 2017 |  M07   |  4.3  |           |
| LNS14000000 | 2017 |  M06   |  4.3  |           |
| LNS14000000 | 2017 |  M05   |  4.4  |           |
| LNS14000000 | 2017 |  M04   |  4.4  |           |
| LNS14000000 | 2017 |  M03   |  4.4  |           |
| LNS14000000 | 2017 |  M02   |  4.6  |           |
| LNS14000000 | 2017 |  M01   |  4.7  |           |
| LNS14000000 | 2016 |  M12   |  4.7  |           |
| LNS14000000 | 2016 |  M11   |  4.7  |           |
| LNS14000000 | 2016 |  M10   |  4.9  |           |
| LNS14000000 | 2016 |  M09   |  5.0  |           |
| LNS14000000 | 2016 |  M08   |  4.9  |           |
| LNS14000000 | 2016 |  M07   |  4.8  |           |
| LNS14000000 | 2016 |  M06   |  4.9  |           |
| LNS14000000 | 2016 |  M05   |  4.8  |           |
| LNS14000000 | 2016 |  M04   |  5.1  |           |
| LNS14000000 | 2016 |  M03   |  5.0  |           |
| LNS14000000 | 2016 |  M02   |  4.9  |           |
| LNS14000000 | 2016 |  M01   |  4.8  |           |
| LNS14000000 | 2015 |  M12   |  5.0  |           |
| LNS14000000 | 2015 |  M11   |  5.1  |           |
| LNS14000000 | 2015 |  M10   |  5.0  |           |
| LNS14000000 | 2015 |  M09   |  5.0  |           |
| LNS14000000 | 2015 |  M08   |  5.1  |           |
| LNS14000000 | 2015 |  M07   |  5.2  |           |
| LNS14000000 | 2015 |  M06   |  5.3  |           |
| LNS14000000 | 2015 |  M05   |  5.6  |           |
| LNS14000000 | 2015 |  M04   |  5.4  |           |
| LNS14000000 | 2015 |  M03   |  5.4  |           |
| LNS14000000 | 2015 |  M02   |  5.5  |           |
| LNS14000000 | 2015 |  M01   |  5.7  |           |
